Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_14_3,VGND,li1,9.6600,48.9600,0.000096
FILLER_13_145,VGND,li1,72.6800,48.9600,0.000269
FILLER_13_127,VGND,li1,64.1700,48.9600,0.000259
FILLER_13_109,VGND,li1,56.3500,48.9600,0.000231
FILLER_13_94,VGND,li1,51.5200,48.9600,0.000217
FILLER_13_82,VGND,li1,46.0000,48.9600,0.000195
FILLER_13_57,VGND,li1,32.4300,48.9600,0.000120
FILLER_13_55,VGND,li1,31.0500,48.9600,0.000120
FILLER_13_43,VGND,li1,28.0600,48.9600,0.000093
FILLER_13_31,VGND,li1,22.5400,48.9600,0.000084
FILLER_13_19,VGND,li1,17.0200,48.9600,0.000088
FILLER_13_7,VGND,li1,11.5000,48.9600,0.000094
FILLER_12_141,VGND,li1,71.0700,43.5200,0.000348
FILLER_12_119,VGND,li1,60.4900,43.5200,0.000336
FILLER_12_90,VGND,li1,48.3000,43.5200,0.000305
FILLER_12_83,VGND,li1,43.9300,43.5200,0.000289
FILLER_12_67,VGND,li1,36.5700,43.5200,0.000240
FILLER_12_56,VGND,li1,31.5100,43.5200,0.000186
FILLER_12_49,VGND,li1,28.7500,43.5200,0.000167
FILLER_12_20,VGND,li1,16.5600,43.5200,0.000158
FILLER_12_3,VGND,li1,7.3600,43.5200,0.000168
FILLER_11_117,VGND,li1,59.5700,43.5200,0.000330
FILLER_11_113,VGND,li1,58.4200,43.5200,0.000330
FILLER_11_111,VGND,li1,56.8100,43.5200,0.000323
FILLER_11_107,VGND,li1,55.6600,43.5200,0.000323
FILLER_11_57,VGND,li1,31.9700,43.5200,0.000207
FILLER_11_48,VGND,li1,28.0600,43.5200,0.000167
FILLER_11_40,VGND,li1,25.7600,43.5200,0.000137
FILLER_11_31,VGND,li1,20.0100,43.5200,0.000155
FILLER_11_23,VGND,li1,16.5600,43.5200,0.000158
FILLER_10_141,VGND,li1,71.0700,38.0800,0.000309
FILLER_10_138,VGND,li1,69.4600,38.0800,0.000309
FILLER_10_117,VGND,li1,59.5700,38.0800,0.000296
FILLER_10_105,VGND,li1,56.5800,38.0800,0.000291
FILLER_10_29,VGND,li1,19.3200,38.0800,0.000133
FILLER_10_24,VGND,li1,17.4800,38.0800,0.000137
FILLER_10_3,VGND,li1,7.1300,38.0800,0.000142
FILLER_9_146,VGND,li1,72.9100,38.0800,0.000309
FILLER_9_140,VGND,li1,71.3000,38.0800,0.000309
FILLER_9_119,VGND,li1,60.4900,38.0800,0.000296
FILLER_9_113,VGND,li1,58.8800,38.0800,0.000296
FILLER_9_111,VGND,li1,56.8100,38.0800,0.000291
FILLER_9_103,VGND,li1,54.7400,38.0800,0.000287
FILLER_9_91,VGND,li1,50.1400,38.0800,0.000275
FILLER_9_46,VGND,li1,26.9100,38.0800,0.000144
FILLER_9_15,VGND,li1,13.1100,38.0800,0.000142
FILLER_9_3,VGND,li1,9.6600,38.0800,0.000142
FILLER_8_145,VGND,li1,72.6800,32.6400,0.000436
FILLER_8_139,VGND,li1,69.6900,32.6400,0.000436
FILLER_8_127,VGND,li1,66.7000,32.6400,0.000434
FILLER_8_107,VGND,li1,56.1200,32.6400,0.000425
FILLER_8_91,VGND,li1,48.7600,32.6400,0.000405
FILLER_8_82,VGND,li1,43.7000,32.6400,0.000366
FILLER_8_48,VGND,li1,28.0600,32.6400,0.000213
FILLER_8_40,VGND,li1,25.7600,32.6400,0.000169
FILLER_8_29,VGND,li1,20.2400,32.6400,0.000170
FILLER_8_26,VGND,li1,17.9400,32.6400,0.000171
FILLER_8_15,VGND,li1,13.3400,32.6400,0.000172
FILLER_8_3,VGND,li1,9.6600,32.6400,0.000172
FILLER_7_135,VGND,li1,67.8500,32.6400,0.000435
FILLER_7_121,VGND,li1,61.4100,32.6400,0.000430
FILLER_7_35,VGND,li1,21.8500,32.6400,0.000170
FILLER_7_27,VGND,li1,19.7800,32.6400,0.000170
FILLER_7_15,VGND,li1,15.1800,32.6400,0.000172
FILLER_7_3,VGND,li1,9.6600,32.6400,0.000172
FILLER_6_141,VGND,li1,70.8400,27.2000,0.000287
FILLER_6_139,VGND,li1,69.6900,27.2000,0.000285
FILLER_6_61,VGND,li1,34.2700,27.2000,0.000135
FILLER_6_53,VGND,li1,31.7400,27.2000,0.000117
FILLER_6_41,VGND,li1,27.1400,27.2000,0.000085
FILLER_6_29,VGND,li1,21.6200,27.2000,0.000071
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000071
FILLER_6_15,VGND,li1,15.1800,27.2000,0.000071
FILLER_6_3,VGND,li1,9.6600,27.2000,0.000071
FILLER_5_146,VGND,li1,72.9100,27.2000,0.000289
FILLER_5_109,VGND,li1,56.3500,27.2000,0.000252
FILLER_5_95,VGND,li1,49.6800,27.2000,0.000223
FILLER_5_73,VGND,li1,39.3300,27.2000,0.000163
